gen,avg_fitness,std_fitness,best_of_gen
46,12770995.504611712,653769.2336807208,13516628.111077296
47,12591980.284423947,1107983.4232644,13516628.111077296
48,12432388.498975655,1096590.2890660027,13516628.111077296
49,12772925.436199652,551506.6719640008,13516628.111077296
0,11780255.801511167,1113592.965174477,13124327.404300315
1,11937388.512385955,1425555.4174243673,13185408.489661753
2,11991147.369780513,1297556.1781248734,13317951.59699821
3,12629306.538148295,462203.76935542,13317951.59699821
4,12553695.289057655,1138345.4105848959,13317951.59699821
5,12640923.515038345,621314.3148228754,13317951.59699821
6,12569211.453960884,806745.1677445852,13317951.59699821
7,12465289.582304273,1140100.4152306402,13323565.761954848
8,12843920.025874635,529370.2867437586,13358224.03882714
9,12488792.991378013,902689.2537192731,13359591.331068147
10,12533141.510645108,676213.4269484188,13368345.968178285
11,12767614.316404305,627050.09628619,13368345.968178285
12,12581252.414706055,753004.3710316955,13394887.38607722
13,12618622.609895715,676619.3722981943,13394887.38607722
14,12260193.838941175,964571.6475721487,13394887.38607722
15,12475186.976918267,1004872.4261313459,13394887.38607722
16,12734095.715742987,1094254.5881605684,13496748.0
17,12557591.20707777,1122556.9394720674,13496748.0
18,12475324.79398733,986288.2389164851,13496748.0
19,12648949.871678887,1160291.919732447,13496748.0
20,12847436.17957891,558871.0656769945,13496748.0
21,12804151.653698342,505591.266485246,13496748.0
22,12716098.42640036,606668.7836688163,13496748.0
23,12947819.79279658,438966.3602067461,13496748.0
24,12823042.478074538,564214.6471803936,13496748.0
25,12270283.83743001,1442034.6157514662,13496748.0
26,12577298.682388268,1284924.3589717112,13496748.0
27,12670424.00298646,762234.1695319308,13496748.0
28,12598122.922772516,916868.6418850038,13496748.0
29,12893475.267370598,554853.5280464186,13496748.0
30,12593626.03911602,994094.9577663969,13496748.0
31,12834547.608798632,1101291.6894831657,13530487.805267652
32,13145910.17515517,298017.5855596753,13530487.805267652
33,12961025.375246527,876170.8580406858,13533888.0810733
34,12800187.104655745,726851.5737770136,13536969.13846316
35,13019430.601284126,576668.1455636821,13536969.13846316
36,13140773.553704984,350936.61585585,13536969.13846316
37,12645706.83329859,1119691.9871479743,13536969.13846316
38,12617350.558844255,802991.2477824574,13536969.13846316
39,12656096.797141913,882827.679904547,13536969.13846316
40,12577675.624471804,957760.7624833677,13536969.13846316
41,12581686.700672435,930703.3895131531,13536969.13846316
42,12486393.310894744,904891.0503119936,13536969.13846316
43,12730602.741846275,698619.470298831,13536969.13846316
44,12663523.417414047,881003.9578012789,13536969.13846316
45,12655851.128262667,871537.0005035208,13536969.13846316
46,12695557.632579494,833851.43362499,13536969.13846316
47,12688702.028086258,725536.757970192,13536969.13846316
48,12631945.721935222,875225.6750189126,13536969.13846316
49,12814625.413712608,570583.6724717261,13536969.13846316
0,11715990.994597506,1577306.2021543891,13151971.271798108
1,12128839.558598654,1005453.8537479369,13151971.271798108
2,12319411.872117987,856586.8835849648,13151971.271798108
3,12496203.826177027,667338.5012888714,13151971.271798108
4,12585127.596290482,771772.6648761464,13258283.0
5,12440905.934324853,779471.7153553461,13258283.0
6,12378875.517125094,782755.6541971875,13258283.0
7,12411128.09050688,740022.7887753256,13258283.0
8,12493845.647053568,633366.6448635698,13258283.0
9,12571097.784013376,677345.027577196,13258283.0
10,12303654.748472225,827770.2885853432,13258283.0
11,12331133.415778564,1052480.5687823715,13258283.0
12,12334998.893630387,1332804.28232373,13296115.853182452
13,12352976.745066427,1267448.591134439,13296115.853182452
14,12325991.700984105,1004738.4501697144,13296115.853182452
15,12769607.709940178,662057.8599470876,13296115.853182452
16,12697784.91366948,761676.7056516466,13321430.321135882
17,12881459.933810273,595561.628529781,13333169.272846952
18,12804101.443928633,604112.2437236925,13333169.272846952
19,12518281.686517922,1007137.3540959769,13333169.272846952
20,12722109.22792216,715621.0799647024,13333169.272846952
21,12800886.52515204,523572.0226644047,13333169.272846952
22,12844668.218645532,523416.31475935393,13333169.272846952
23,12484643.073094152,940462.8266930978,13333169.272846952
24,12708220.293094765,763633.8029013786,13333169.272846952
25,12602854.959212065,690100.2253778307,13333169.272846952
26,12741280.608710688,560468.1157888527,13333169.272846952
27,12791567.156547088,698062.1019845622,13333169.272846952
28,12971526.933501147,327061.9634308797,13361856.951888295
29,12454848.243746215,875809.9924237321,13382055.864826413
30,12657377.881234113,775848.3148242201,13382055.864826413
31,12824518.95193525,769993.9652770378,13470340.864800647
32,12913559.366241507,711351.6854308641,13500504.53296394
33,12754302.98718976,760618.8985706947,13500504.53296394
34,12918686.253638495,628125.5980209607,13503383.857287895
35,12473939.540478574,1060418.200198806,13503383.857287895
36,12690162.872210475,763989.9497085086,13503383.857287895
37,12756188.583171235,756606.5108453078,13503383.857287895
38,12798309.689472165,781097.232448974,13503383.857287895
39,12752602.161939574,879735.7470090955,13503383.857287895
40,12969727.994419102,565722.7625211009,13504390.76349228
41,13087303.5385359,346326.22695363685,13504390.76349228
42,12804889.421344707,552782.7280092568,13504390.76349228
43,12598540.876726678,967914.8442588988,13504390.76349228
44,12592661.994685467,1137028.4660967365,13504390.76349228
45,12751784.18394034,873358.6731923462,13504390.76349228
